segment,from,to,text
1,00:00:00.000,00:00:02.000,謝謝
2,00:00:02.000,00:00:04.000,謝謝
3,00:00:04.000,00:00:06.000,謝謝
4,00:00:06.000,00:00:08.000,謝謝
5,00:00:08.000,00:00:10.000,謝謝
6,00:00:10.000,00:00:12.000,謝謝
7,00:00:12.000,00:00:14.000,謝謝
8,00:00:14.000,00:00:16.000,謝謝
9,00:00:16.000,00:00:18.000,好 各位媒體朋友大家早安
10,00:00:18.000,00:00:22.000,歡迎來參加我們今天的政策記者會
11,00:00:22.000,00:00:24.000,我們今天記者會的主題呢
12,00:00:24.000,00:00:26.000,是0到6歲國家養
13,00:00:26.000,00:00:28.000,6到12歲國家顧
14,00:00:28.000,00:00:30.000,有孩子的家庭
15,00:00:30.000,00:00:32.000,一定會希望自己的孩子
16,00:00:32.000,00:00:34.000,可以被好好的照顧
17,00:00:34.000,00:00:36.000,安心長大
18,00:00:36.000,00:00:38.000,我們常常說0到6歲國家養
19,00:00:38.000,00:00:40.000,拋出了許多政策
20,00:00:40.000,00:00:42.000,但是6歲以上學零後的小孩呢
21,00:00:42.000,00:00:44.000,我們到底怎麼樣讓他們
22,00:00:44.000,00:00:46.000,好好的照顧呢
23,00:00:46.000,00:00:48.000,我自己是兩個孩子的媽媽
24,00:00:48.000,00:00:50.000,他們即將上小學
25,00:00:50.000,00:00:52.000,我非常非常的煩惱
26,00:00:52.000,00:00:54.000,我跟很多家長一樣
27,00:00:54.000,00:00:56.000,平常為了生活奔波
28,00:00:56.000,00:00:58.000,我們要照顧傷透腦筋
29,00:00:58.000,00:01:00.000,常常是我還沒有下班
30,00:01:00.000,00:01:02.000,他們已經放學
31,00:01:02.000,00:01:04.000,或者是要找後援
32,00:01:04.000,00:01:06.000,不是爸媽不在身邊
33,00:01:06.000,00:01:08.000,無力照顧
34,00:01:08.000,00:01:10.000,要不然就是要多花一筆錢
35,00:01:10.000,00:01:12.000,才能好好的照顧他們
36,00:01:12.000,00:01:14.000,民進黨執政7年多
37,00:01:14.000,00:01:16.000,這一塊就像是失落的拼圖一樣
38,00:01:16.000,00:01:18.000,我們遲遲看不到這一塊怎麼樣的補上
39,00:01:18.000,00:01:20.000,所以我們這邊整理了幾個問題
40,00:01:20.000,00:01:22.000,比方說
41,00:01:22.000,00:01:24.000,我們的課後照顧班
42,00:01:24.000,00:01:26.000,的義務教育呢
43,00:01:26.000,00:01:28.000,其實是上到下午4點
44,00:01:28.000,00:01:30.000,4點大家已經下班了嗎
45,00:01:30.000,00:01:32.000,我們可以看到所謂的課後照顧班
46,00:01:32.000,00:01:34.000,就是在4點到6點
47,00:01:34.000,00:01:36.000,學校會有一些課後照顧的機制
48,00:01:36.000,00:01:38.000,我們看到現況呢
49,00:01:38.000,00:01:40.000,106學年度的時候
50,00:01:40.000,00:01:42.000,課後照顧班的開班數
51,00:01:42.000,00:01:44.000,是1萬多班
52,00:01:44.000,00:01:46.000,服務人次
53,00:01:46.000,00:01:48.000,記住喔是人次不是人數
54,00:01:48.000,00:01:50.000,服務人次達到了16萬
55,00:01:50.000,00:01:52.000,而到了111學年度
56,00:01:52.000,00:01:54.000,開班已經到達了
57,00:01:54.000,00:01:56.000,2萬6千班
58,00:01:56.000,00:01:58.000,而服務人次到了
59,00:01:58.000,00:02:00.000,44萬可以看到這個需求呢
60,00:02:00.000,00:02:02.000,是增加了將近3倍
61,00:02:02.000,00:02:04.000,而111學年度
62,00:02:04.000,00:02:06.000,公立國小總共
63,00:02:06.000,00:02:08.000,全國有1926
64,00:02:08.000,00:02:10.000,校來辦理
65,00:02:10.000,00:02:12.000,這樣子的所謂課後照顧班
66,00:02:12.000,00:02:14.000,涵蓋了全國
67,00:02:14.000,00:02:16.000,72%的學校
68,00:02:16.000,00:02:18.000,但是照顧了多少學生呢
69,00:02:18.000,00:02:20.000,其實就照顧了
70,00:02:20.000,00:02:22.000,15%的學生人數
71,00:02:22.000,00:02:24.000,其他的孩子到哪裡
72,00:02:24.000,00:02:26.000,去了呢我們看到主要
73,00:02:26.000,00:02:28.000,有四個問題
74,00:02:28.000,00:02:30.000,第一個我們的課後照顧班
75,00:02:30.000,00:02:32.000,他是所謂的量能不足
76,00:02:32.000,00:02:34.000,量能遠遠不足
77,00:02:34.000,00:02:36.000,與家長的需求
78,00:02:36.000,00:02:38.000,所以家長非常的不方便
79,00:02:38.000,00:02:40.000,第二個時間非常的不友善
80,00:02:40.000,00:02:42.000,接送學童的時間
81,00:02:42.000,00:02:44.000,非常不友善
82,00:02:44.000,00:02:46.000,即使有課後照顧班
83,00:02:46.000,00:02:48.000,也是只照顧晚上6點
84,00:02:48.000,00:02:50.000,對於一些緊急需要
85,00:02:50.000,00:02:52.000,來照顧的這些孩子們家長們
86,00:02:52.000,00:02:54.000,並沒有所謂的特別
87,00:02:54.000,00:02:56.000,服務再來負擔其實
88,00:02:56.000,00:02:58.000,不輕喔儘管我們的義務
89,00:02:58.000,00:03:00.000,教育學費學雜費非常的
90,00:03:00.000,00:03:02.000,便宜但是
91,00:03:02.000,00:03:04.000,如果平均算下來的話
92,00:03:04.000,00:03:06.000,這個課後照顧班
93,00:03:06.000,00:03:08.000,每個學生每一年都要
94,00:03:08.000,00:03:10.000,收費平均約3萬元
95,00:03:10.000,00:03:12.000,你每多生一個孩子
96,00:03:12.000,00:03:14.000,就要多花一次的3萬元
97,00:03:14.000,00:03:16.000,第四個關懷不夠
98,00:03:16.000,00:03:18.000,就是對弱勢族群
99,00:03:18.000,00:03:20.000,可能像是一些中低收入戶
100,00:03:20.000,00:03:22.000,這樣子的關懷仍有不足
101,00:03:22.000,00:03:24.000,民進黨執政7年多
102,00:03:24.000,00:03:26.000,這一塊失落的拼圖呢
103,00:03:26.000,00:03:28.000,遲遲沒有補上現在
104,00:03:28.000,00:03:30.000,我們侯友宜趙少康我們
105,00:03:30.000,00:03:32.000,看到了這個問題現在
106,00:03:32.000,00:03:34.000,我們來邀請我們的中國國民黨
107,00:03:34.000,00:03:36.000,總統候選人侯友宜
108,00:03:36.000,00:03:38.000,提出政策的解方我們歡迎
109,00:03:38.000,00:03:40.000,這個非常
110,00:03:40.000,00:03:42.000,謝謝宜政這個兩個
111,00:03:42.000,00:03:44.000,孩子的媽關心孩子
112,00:03:44.000,00:03:46.000,那也要謝謝
113,00:03:46.000,00:03:48.000,我們洪嘉金議員
114,00:03:48.000,00:03:50.000,四個孩子的媽
115,00:03:50.000,00:03:52.000,也來關心我們孩子未來的
116,00:03:52.000,00:03:54.000,教育上
117,00:03:54.000,00:03:56.000,謝謝我們的會長
118,00:03:56.000,00:03:58.000,今天這個主題好照顧
119,00:03:58.000,00:04:00.000,好照顧
120,00:04:00.000,00:04:02.000,喝教國喝教國
121,00:04:02.000,00:04:04.000,怎麼樣好照顧上次
122,00:04:04.000,00:04:06.000,我們提出了0到6歲
123,00:04:06.000,00:04:08.000,國家養今天
124,00:04:08.000,00:04:10.000,最主要的主軸百在
125,00:04:10.000,00:04:12.000,6到12歲
126,00:04:12.000,00:04:14.000,在這個部分的
127,00:04:14.000,00:04:16.000,課後照顧我們要
128,00:04:16.000,00:04:18.000,提供免費
129,00:04:18.000,00:04:20.000,政策讓孩子
130,00:04:20.000,00:04:22.000,們安心在
131,00:04:22.000,00:04:24.000,校園的安全學習
132,00:04:24.000,00:04:26.000,讓家長在接受
133,00:04:26.000,00:04:28.000,上不用擔心
134,00:04:28.000,00:04:30.000,時間那麼樣的緊迫
135,00:04:30.000,00:04:32.000,有時候造成他們
136,00:04:32.000,00:04:34.000,很多
137,00:04:34.000,00:04:36.000,不方便的地方
138,00:04:36.000,00:04:38.000,這些在學校裡面
139,00:04:38.000,00:04:40.000,我要特別添飽
140,00:04:40.000,00:04:42.000,在前段時間
141,00:04:42.000,00:04:44.000,我們的0到6歲
142,00:04:44.000,00:04:46.000,簡單的
143,00:04:46.000,00:04:48.000,給大家做一個補充跟說明
144,00:04:48.000,00:04:52.000,因為生意
145,00:04:52.000,00:04:54.000,其實是
146,00:04:54.000,00:04:56.000,現階段
147,00:04:56.000,00:04:58.000,大家在生活壓力底下
148,00:04:58.000,00:05:00.000,最大的一個挑戰
149,00:05:00.000,00:05:02.000,年輕人
150,00:05:02.000,00:05:04.000,不結婚不生小孩
151,00:05:04.000,00:05:06.000,這都是因為經濟的壓力
152,00:05:06.000,00:05:08.000,以及政府沒有一個完善
153,00:05:08.000,00:05:10.000,的從生意
154,00:05:10.000,00:05:12.000,到孩子們
155,00:05:12.000,00:05:14.000,學習的過程當中
156,00:05:14.000,00:05:16.000,做了一個完善的照顧
157,00:05:16.000,00:05:18.000,我在前段時間
158,00:05:18.000,00:05:20.000,特別提出了動軟
159,00:05:20.000,00:05:22.000,補助
160,00:05:22.000,00:05:24.000,以及生了兩胎
161,00:05:24.000,00:05:26.000,可以優先從世衛制裁
162,00:05:26.000,00:05:28.000,三胎完
163,00:05:28.000,00:05:30.000,有百萬補助
164,00:05:30.000,00:05:32.000,獎勵
165,00:05:32.000,00:05:34.000,大家在第一次購物
166,00:05:34.000,00:05:36.000,提了很多很多
167,00:05:36.000,00:05:38.000,的這些政策
168,00:05:38.000,00:05:40.000,在教育這個部分裡面
169,00:05:40.000,00:05:42.000,今天我也特別再
170,00:05:42.000,00:05:44.000,重複的給大家做一個細數
171,00:05:44.000,00:05:46.000,我們所
172,00:05:46.000,00:05:48.000,我們的安心通
173,00:05:48.000,00:05:50.000,包括我們的公共托育
174,00:05:50.000,00:05:52.000,以及
175,00:05:52.000,00:05:54.000,非營利整公共的托嬰
176,00:05:54.000,00:05:56.000,托育跟幼兒園
177,00:05:56.000,00:05:58.000,是完全免費的
178,00:05:58.000,00:06:00.000,不然你是公立的非營利的
179,00:06:00.000,00:06:02.000,以及整公共化的
180,00:06:02.000,00:06:04.000,不然托嬰托育
181,00:06:04.000,00:06:06.000,或是幼兒園
182,00:06:06.000,00:06:08.000,都免費
183,00:06:08.000,00:06:10.000,至於私立的或是自行照顧的
184,00:06:10.000,00:06:12.000,我們特別
185,00:06:12.000,00:06:14.000,每人每月領一萬塊
186,00:06:14.000,00:06:16.000,的育兒津貼
187,00:06:16.000,00:06:18.000,但我們為了要延長到
188,00:06:18.000,00:06:20.000,異輩教育所以在五歲
189,00:06:20.000,00:06:22.000,這個年齡上
190,00:06:22.000,00:06:24.000,我們又多加了一萬塊
191,00:06:24.000,00:06:26.000,來補助
192,00:06:26.000,00:06:28.000,私用
193,00:06:28.000,00:06:30.000,這裡面也後續再補助
194,00:06:30.000,00:06:32.000,其他的這個自行照顧的
195,00:06:32.000,00:06:34.000,那總共在五歲
196,00:06:34.000,00:06:36.000,的延長
197,00:06:36.000,00:06:38.000,異輩教育裡面的倍成兩萬
198,00:06:38.000,00:06:40.000,至於在整個
199,00:06:40.000,00:06:42.000,過程當中除了我剛剛講的
200,00:06:42.000,00:06:44.000,以外為了讓
201,00:06:44.000,00:06:46.000,這些受薪
202,00:06:46.000,00:06:48.000,階級後世有扶養的
203,00:06:48.000,00:06:50.000,子女們後世在
204,00:06:50.000,00:06:52.000,養育孩子在生育的
205,00:06:52.000,00:06:54.000,過程當中或是生育完以後的
206,00:06:54.000,00:06:56.000,過程當中我們
207,00:06:56.000,00:06:58.000,提供了兩項一個就是扶養
208,00:06:58.000,00:07:00.000,12歲以下
209,00:07:00.000,00:07:02.000,他的扣底額可以提高到50%
210,00:07:02.000,00:07:04.000,至於育嬰的
211,00:07:04.000,00:07:06.000,留職停薪的今天
212,00:07:06.000,00:07:08.000,本來在投保金額的大概8成
213,00:07:08.000,00:07:10.000,我們現在是全薪
214,00:07:10.000,00:07:12.000,對你還要知道全薪
215,00:07:12.000,00:07:14.000,這也是考慮到在生育
216,00:07:14.000,00:07:16.000,或在養育的過程當中
217,00:07:16.000,00:07:18.000,怎麼樣把他照顧得更好
218,00:07:18.000,00:07:20.000,那這是我們之前提出來
219,00:07:20.000,00:07:22.000,今天最主要的提的主軸
220,00:07:22.000,00:07:24.000,是擺在
221,00:07:24.000,00:07:26.000,6到12歲國家
222,00:07:26.000,00:07:28.000,顧兒童課後照顧
223,00:07:28.000,00:07:30.000,免費政策
224,00:07:30.000,00:07:32.000,免費政策
225,00:07:32.000,00:07:34.000,大概知道很多孩子們
226,00:07:34.000,00:07:36.000,這個客戶
227,00:07:36.000,00:07:38.000,有留在學校
228,00:07:38.000,00:07:40.000,有的就到附近的
229,00:07:40.000,00:07:42.000,立案的民間團體機構
230,00:07:42.000,00:07:44.000,去參與
231,00:07:44.000,00:07:46.000,課後輔導
232,00:07:46.000,00:07:48.000,在學校的課後輔導其實所占的比例
233,00:07:48.000,00:07:50.000,並不是
234,00:07:50.000,00:07:52.000,很高大概只占了
235,00:07:52.000,00:07:54.000,15%
236,00:07:54.000,00:07:56.000,所以我其實
