segment,from,to,text
1,00:00:00.000,00:00:15.000,(觀眾說話)
2,00:00:15.000,00:00:20.000,那我們的工作人員請我們的貴賓入座
3,00:00:20.000,00:00:41.000,(觀眾說話)
4,00:00:41.000,00:00:44.000,阿公阿嬤 大家早上好嗎
5,00:00:44.000,00:00:45.000,好
6,00:00:45.000,00:00:47.000,今天很高興喔
7,00:00:47.000,00:00:51.000,(觀眾說話)
8,00:00:51.000,00:00:53.000,現場也來很多貴賓
9,00:00:53.000,00:00:54.000,還有我們的媒體記者
10,00:00:54.000,00:00:55.000,還有我們的家人
11,00:00:55.000,00:00:57.000,大家好 大家早
12,00:00:57.000,00:01:00.000,那今天的盛會
13,00:01:00.000,00:01:02.000,我們一早非常的歡迎
14,00:01:02.000,00:01:05.000,而且帶著很喜悅 很澎湃的心
15,00:01:05.000,00:01:07.000,那我們首先先
16,00:01:07.000,00:01:09.000,我先介紹我們的貴賓
17,00:01:09.000,00:01:11.000,那我們的董事長
18,00:01:11.000,00:01:12.000,今天有親臨現場
19,00:01:12.000,00:01:15.000,我們的董事長李長宏先生
20,00:01:15.000,00:01:18.000,(掌聲)
21,00:01:18.000,00:01:20.000,那再來就是重量級的喔
22,00:01:20.000,00:01:23.000,我們的新北市侯友宜 侯市長
23,00:01:23.000,00:01:25.000,專程過來
24,00:01:25.000,00:01:27.000,(掌聲)
25,00:01:27.000,00:01:29.000,那再來 謝謝
26,00:01:29.000,00:01:35.000,再來就是我們的立院黨團總召曾明中
27,00:01:35.000,00:01:36.000,曾明中先生
28,00:01:36.000,00:01:40.000,(掌聲)
29,00:01:40.000,00:01:45.000,再來是我們的那個洪賢龍副主委
30,00:01:45.000,00:01:46.000,這位是誰
31,00:01:46.000,00:01:49.000,(掌聲)
32,00:01:49.000,00:01:51.000,好 這位
33,00:01:51.000,00:01:52.000,這位
34,00:01:52.000,00:01:55.000,再來是我們的翁松鈞立委
35,00:01:55.000,00:01:57.000,阿公阿嬤 幫他打招呼一下
36,00:01:57.000,00:01:59.000,(掌聲)
37,00:01:59.000,00:02:00.000,OK的喔
38,00:02:00.000,00:02:04.000,阿公阿嬤 我們首先請我們的董事長李長宏先生
39,00:02:04.000,00:02:06.000,跟我們說幾句話好不好
40,00:02:06.000,00:02:10.000,好
41,00:02:10.000,00:02:15.000,(掌聲)
42,00:02:15.000,00:02:18.000,各位阿公阿嬤 早上好
43,00:02:18.000,00:02:21.000,阿祖這個侯市長跟曾明宇
44,00:02:21.000,00:02:24.000,跟王市長跟朱宇
45,00:02:24.000,00:02:27.000,就是你們今天來鼓勵我們這裡
46,00:02:27.000,00:02:28.000,我很高興
47,00:02:28.000,00:02:30.000,因為我們這個老人的
48,00:02:30.000,00:02:36.000,阿祖那個高齡的社會在我們台灣是已經很明顯了
49,00:02:36.000,00:02:38.000,我們台灣我們說
50,00:02:38.000,00:02:42.000,超過7%的老人就是叫做老人化
51,00:02:42.000,00:02:45.000,超過14%就叫做高齡社會
52,00:02:45.000,00:02:48.000,超過20%就叫超高齡
53,00:02:48.000,00:02:52.000,台灣從阿祖那個14%到20%只8年
54,00:02:52.000,00:02:56.000,所以這在台灣的社會來說是一個很大的問題
55,00:02:56.000,00:02:58.000,尤其現在我們的經濟很好
56,00:02:58.000,00:03:02.000,醫療很好 每個老人都活很久
57,00:03:02.000,00:03:04.000,阿祖那個身體的盡量
58,00:03:04.000,00:03:08.000,所以這個阿祖這個老人的照顧是一個很要緊
59,00:03:08.000,00:03:11.000,我今天很高興這個侯市長
60,00:03:11.000,00:03:14.000,他可以來實際用行動來關心各位老人
61,00:03:14.000,00:03:17.000,來看我們這個社會需要是怎麼樣
62,00:03:17.000,00:03:18.000,這是真的
63,00:03:18.000,00:03:21.000,阿實在說 侯市長是我的學弟
64,00:03:21.000,00:03:23.000,李學弟啦
65,00:03:23.000,00:03:26.000,李明國64年比較長時間
66,00:03:26.000,00:03:29.000,我60年就變年了
67,00:03:29.000,00:03:33.000,但是這個總委員應該是我的學長
68,00:03:33.000,00:03:35.000,我今天才知道
69,00:03:35.000,00:03:37.000,學弟喔
70,00:03:37.000,00:03:40.000,叫叫叫
71,00:03:40.000,00:03:43.000,這樣喔
72,00:03:43.000,00:03:50.000,應該 應該 紅委員也加中了
73,00:03:50.000,00:03:56.000,所以今天我們兩個學弟來到這裡 我很高興
74,00:03:56.000,00:03:59.000,但是就這個機會
75,00:03:59.000,00:04:04.000,順便把這個市長跟委員拜託
76,00:04:04.000,00:04:08.000,我們這個老人的照顧的問題是很重要
77,00:04:08.000,00:04:10.000,因為我們的超高齡
78,00:04:10.000,00:04:13.000,台灣的醫療真的很好
79,00:04:13.000,00:04:14.000,社交服務
80,00:04:14.000,00:04:19.000,所以在這個世界的趨勢裡面
81,00:04:19.000,00:04:23.000,我覺得台灣的長照其實可以變成世界的模範
82,00:04:23.000,00:04:27.000,所以這個政權如果做好
83,00:04:27.000,00:04:29.000,這個可以再發酵
84,00:04:29.000,00:04:31.000,所以我們在這裡今天很高興
85,00:04:31.000,00:04:33.000,這個侯市長來到這裡
86,00:04:33.000,00:04:35.000,實際了解我們的情形
87,00:04:35.000,00:04:40.000,順便知道各位的需要是怎麼樣
88,00:04:40.000,00:04:43.000,再來我這裡代表我們這裡的董事
89,00:04:43.000,00:04:45.000,代表我們這裡的阿公阿嬤
90,00:04:45.000,00:04:49.000,阿公阿嬤跟侯市長跟委員謝謝
91,00:04:49.000,00:04:50.000,謝謝
92,00:04:50.000,00:04:52.000,阿公阿嬤我們打個招呼
93,00:04:52.000,00:04:57.000,再來我們歡迎阿翔
94,00:04:57.000,00:05:01.000,我們約翰樂火護理之家賴執行長
95,00:05:01.000,00:05:03.000,跟我們講幾句話
96,00:05:03.000,00:05:05.000,你沒打招呼喔
97,00:05:05.000,00:05:08.000,再來阿公阿嬤 大家早安
98,00:05:08.000,00:05:10.000,大家好
99,00:05:10.000,00:05:14.000,你們阿翔今天穿這樣有很誇張嗎
100,00:05:14.000,00:05:15.000,有喔
101,00:05:15.000,00:05:17.000,很多阿公阿嬤可能很有疑問
102,00:05:17.000,00:05:19.000,我們的活動以前都辦在現場
103,00:05:19.000,00:05:21.000,今天辦一個在野
104,00:05:21.000,00:05:23.000,因為在野今天我們很開心
105,00:05:23.000,00:05:25.000,我們很多貴賓 明天的朋友
106,00:05:25.000,00:05:27.000,我們在座一些好朋友
107,00:05:27.000,00:05:29.000,來約翰樂火護理之家
108,00:05:29.000,00:05:32.000,來跟我們阿公阿嬤祝福
109,00:05:32.000,00:05:35.000,尤其是我們侯市長
110,00:05:35.000,00:05:38.000,來我們現在阿翔就不要多說
111,00:05:38.000,00:05:41.000,我們侯市長總幹事在台灣這裡
112,00:05:41.000,00:05:44.000,來我們中部約翰樂火護理之家
113,00:05:44.000,00:05:47.000,阿公阿嬤 在座的好朋友
114,00:05:47.000,00:05:49.000,跟我們約翰樂火的夥伴
115,00:05:49.000,00:05:52.000,都用最特別的方式來歡迎第一名的市長
116,00:05:52.000,00:05:54.000,新北市長 也是我們總統的傳說人
117,00:05:54.000,00:05:56.000,侯友宜
118,00:05:56.000,00:05:58.000,(掌聲)
119,00:05:58.000,00:06:14.000,各位阿公阿嬤
120,00:06:14.000,00:06:17.000,大家早安 大家吃飽沒
121,00:06:17.000,00:06:19.000,吃飽沒
122,00:06:19.000,00:06:21.000,哎唷
123,00:06:21.000,00:06:23.000,在這過了 心又過得怎樣
124,00:06:23.000,00:06:25.000,不錯
125,00:06:25.000,00:06:27.000,不錯
126,00:06:27.000,00:06:29.000,感謝我們的李董事長
127,00:06:29.000,00:06:31.000,感謝阿翔
128,00:06:31.000,00:06:33.000,是不是
129,00:06:33.000,00:06:35.000,阿翔
130,00:06:35.000,00:06:37.000,阿翔
131,00:06:37.000,00:06:39.000,你就知道我長得是
132,00:06:39.000,00:06:41.000,台灣人
133,00:06:41.000,00:06:43.000,因為阿翔我比較不那麼漂亮
134,00:06:43.000,00:06:45.000,比較大聲 你知道感謝什麼
135,00:06:45.000,00:06:47.000,阿翔 掌聲
136,00:06:47.000,00:06:53.000,在這兒是這過了不錯
137,00:06:53.000,00:06:55.000,大家
138,00:06:55.000,00:06:57.000,身體健康可以
139,00:06:57.000,00:06:59.000,照顧別人
140,00:06:59.000,00:07:01.000,是不是在想大一件事
141,00:07:01.000,00:07:03.000,就是健康安安
142,00:07:03.000,00:07:05.000,所以今天
143,00:07:05.000,00:07:07.000,我是家裡的孩子
144,00:07:07.000,00:07:09.000,今天來到中部
145,00:07:09.000,00:07:11.000,我家站去普助
146,00:07:11.000,00:07:13.000,我們這裡有普助人嗎
147,00:07:13.000,00:07:15.000,有沒有
148,00:07:15.000,00:07:17.000,有普助人拿個手
149,00:07:17.000,00:07:19.000,你普助人
150,00:07:19.000,00:07:21.000,現在自己長頭了
151,00:07:21.000,00:07:23.000,今天你來這裡是
152,00:07:23.000,00:07:25.000,關心我們中部
153,00:07:25.000,00:07:27.000,未來我們中部
154,00:07:27.000,00:07:29.000,身體要怎麼照顧好
155,00:07:29.000,00:07:31.000,可以讓他減緩
156,00:07:31.000,00:07:33.000,失能失智以外
157,00:07:33.000,00:07:35.000,更重要的是在
158,00:07:35.000,00:07:37.000,到了自治型的機構
