segment,from,to,speaker,text
1,0:00:00,0:00:03,柯文哲,區議立委候選人就是政權總部開幕
2,0:00:03,0:00:04,柯文哲,不來都不行
3,0:00:04,0:00:09,柯文哲,所以只好在線上跟你們對談
4,0:00:09,0:00:12,柯文哲,不過剛才那個說什麼我們都不關心
5,0:00:12,0:00:13,柯文哲,不會啦我很關心
6,0:00:13,0:00:15,柯文哲,教育才能夠解決
7,0:00:15,0:00:18,柯文哲,有新的教育才有新的科技才有新的經濟
8,0:00:18,0:00:22,柯文哲,所以台灣年輕人老是在抱怨低薪
9,0:00:22,0:00:23,柯文哲,教育沒有解決
10,0:00:23,0:00:25,柯文哲,那個低薪沒有辦法解決
11,0:00:25,0:00:28,柯文哲,因為我們的產業如果一直留在
12,0:00:28,0:00:31,柯文哲,畢乎價價值產業本來就不會成功
13,0:00:31,0:00:35,柯文哲,所以要有新的教育才有新的科技才有新的經濟
14,0:00:35,0:00:37,柯文哲,所以這個先聲明一下
15,0:00:37,0:00:39,柯文哲,本人一向非常重視教育
16,0:00:39,0:00:42,柯文哲,而且我爸爸就是小學老師
17,0:00:42,0:00:44,柯文哲,我後來發現我們家只有兩種職業
18,0:00:44,0:00:47,柯文哲,只有醫生跟老師好像沒有其他職業
19,0:00:47,0:00:50,柯文哲,好那我們就先開始了
20,0:00:50,0:00:54,主持人,好那我那個市長也預備了一個
21,0:00:54,0:00:58,主持人,有一個影片有一個引帶要讓我們觀賞
22,0:00:58,0:01:00,主持人,我們可不可以請
23,0:01:00,0:01:06,柯文哲,沒有聽到你們的聲音很奇怪
24,0:01:06,0:01:13,主持人,好市長我們現在就來看您所預備的這個影帶
25,0:01:13,0:01:19,影片（柯文哲）,今天我們要講如果用創新教育來創造人才紅利
26,0:01:19,0:01:24,影片（柯文哲）,因為過去他們的人口結構是金字塔形
27,0:01:24,0:01:26,影片（柯文哲）,所以他有這個叫人口紅利
28,0:01:26,0:01:29,影片（柯文哲）,OK所以人在增加
29,0:01:29,0:01:32,影片（柯文哲）,那現在等於台灣人口結構改變
30,0:01:32,0:01:34,影片（柯文哲）,少子化老年化
31,0:01:34,0:01:38,影片（柯文哲）,所以變成有那種工作能力的人
32,0:01:38,0:01:41,影片（柯文哲）,他必須有更高的產值
33,0:01:41,0:01:45,影片（柯文哲）,所以我們要從人口紅利變成人才紅利
34,0:01:45,0:01:48,影片（柯文哲）,那怎麼做就是要創新教育
