segment,from,to,speaker,text
3,0:00:27,0:00:30,主持人,副總統 麗君董事長 東升老師
4,0:00:30,0:00:32,主持人,還有我們現場的媒體好朋友
5,0:00:32,0:00:36,主持人,以及收看直播的觀眾朋友們 大家早安
6,0:00:36,0:00:39,主持人,歡迎大家來到國家希望工程記者會
7,0:00:39,0:00:42,主持人,這是第三場了 延續了我們所說的
8,0:00:42,0:00:44,主持人,希望有總體性的擘劃
9,0:00:44,0:00:49,主持人,今天主題是健康台灣樂齡幸福社會
10,0:00:49,0:00:50,主持人,那麼最非常重要的是
11,0:00:50,0:00:52,主持人,我們稍後即將要公佈的政見
12,0:00:52,0:00:56,主持人,告訴大家如何以醫療來打造健康台灣
13,0:00:56,0:00:58,主持人,同時如何以長照3.0
14,0:00:58,0:01:00,主持人,能夠守護樂齡的幸福社會
15,0:01:00,0:01:02,主持人,在記者會的一開始
16,0:01:02,0:01:04,主持人,讓我們掌聲有請賴清德副總統
17,0:01:04,0:01:06,主持人,為大家來發表政見
18,0:01:06,0:01:11,主持人,(掌聲)
19,0:01:11,0:01:15,賴清德,競選總部國政藍圖召集人 鄭麗君董事長
20,0:01:15,0:01:18,賴清德,陳東升執行長
21,0:01:18,0:01:21,賴清德,競選總部潘孟安總幹事
22,0:01:21,0:01:25,賴清德,在場媒體朋友 線上的觀眾
23,0:01:25,0:01:27,賴清德,各位好朋友 大家早
24,0:01:27,0:01:33,賴清德,這是我第三場的國政藍圖系列記者會
25,0:01:33,0:01:38,賴清德,第一場呢 是向國人報告總論
26,0:01:38,0:01:41,賴清德,我希望能夠結合台灣社會各界的力量
27,0:01:41,0:01:43,賴清德,推動國家希望工程
28,0:01:43,0:01:47,賴清德,打造民主和平的台灣
29,0:01:47,0:01:50,賴清德,繁榮 創新的台灣
30,0:01:50,0:01:55,賴清德,以及公益永續的台灣
31,0:01:55,0:01:59,賴清德,第二場呢 是針對0到22歲
32,0:01:59,0:02:01,賴清德,國家擴大社會投資
33,0:02:01,0:02:03,賴清德,投資下一個世代
34,0:02:03,0:02:05,賴清德,那今天第三場記者會
35,0:02:05,0:02:08,賴清德,我要報告的主題有兩個
36,0:02:08,0:02:12,賴清德,一個是醫療希望能夠打造健康台灣
37,0:02:12,0:02:15,賴清德,第二個議題是長照3.0
38,0:02:15,0:02:22,賴清德,能夠建立樂齡 幸福的社會
39,0:02:22,0:02:24,賴清德,就醫療而言
40,0:02:24,0:02:28,賴清德,我常常在思考一個問題
41,0:02:28,0:02:32,賴清德,就是我能夠有別於以往的總統
42,0:02:32,0:02:36,賴清德,能夠另外帶給台灣社會什麼
43,0:02:36,0:02:39,賴清德,一方面我的背景是醫生
44,0:02:39,0:02:42,賴清德,另外我也看到了
45,0:02:42,0:02:47,賴清德,國民平均年齡陸續延長到81歲
46,0:02:47,0:02:52,賴清德,可是不健康年數也達8年之多
47,0:02:52,0:02:53,賴清德,那換句話說
