segment,from,to,speaker,text
1,0:00:00,0:00:17,主持人,(音樂)
2,0:00:17,0:00:20,主持人,各位觀眾 各位候選人 大家好
3,0:00:20,0:00:22,主持人,今天是中央選舉委員會
4,0:00:22,0:00:26,主持人,為第十六任總統副總統選舉所舉辦的
5,0:00:26,0:00:30,主持人,第三場總統候選人電視政見發表會
6,0:00:30,0:00:35,主持人,由本人中央選舉委員會委員陳恩民負責主持
7,0:00:35,0:00:39,主持人,同時由本會陳月端委員在場監察
8,0:00:39,0:00:45,主持人,首先 謹代表主辦單位中央選舉委員會
9,0:00:45,0:00:49,主持人,向電視機前的觀眾和來參加政見發表會的
10,0:00:49,0:00:52,主持人,三位候選人表示感謝
11,0:00:52,0:00:55,主持人,在政見發表會正式開始前
12,0:00:55,0:00:59,主持人,先將政見發表會進行程序及注意事項
13,0:00:59,0:01:01,主持人,向各位說明
14,0:01:01,0:01:05,主持人,第一 電視政見發表會進行之程序
15,0:01:05,0:01:08,主持人,是採取三輪方式發表政見
16,0:01:08,0:01:13,主持人,每一輪每位候選人發表政見時間為十分鐘
17,0:01:13,0:01:18,主持人,時間屆滿前三分鐘按鈴一短聲示意
18,0:01:18,0:01:19,主持人,(鐘)
19,0:01:19,0:01:22,主持人,時間屆滿時按鈴二長聲
20,0:01:22,0:01:24,主持人,(鐘)
21,0:01:24,0:01:26,主持人,請結束發言
22,0:01:26,0:01:29,主持人,第二 和第三輪政見發表的時間
23,0:01:29,0:01:32,主持人,和進行方式均相同
24,0:01:32,0:01:36,主持人,時間介滿時候選人應及結束發言
25,0:01:36,0:01:39,主持人,不得以任何理由請求延長
26,0:01:39,0:01:41,主持人,如仍不停止發言
27,0:01:41,0:01:45,主持人,主持人立即制止並不予播出
28,0:01:45,0:01:49,主持人,第二 候選人應一抽籤號次順序發言
29,0:01:49,0:01:52,主持人,不得要求提前或延後
30,0:01:52,0:01:55,主持人,經主持人唱名三次
31,0:01:55,0:01:59,主持人,仍未上台發表政見者 以棄權論
32,0:01:59,0:02:02,主持人,第三 候選人發表政見時
33,0:02:02,0:02:07,主持人,如有違背公共秩序 善良風俗之行為
34,0:02:07,0:02:10,主持人,主持人應於制止並不予播出
35,0:02:10,0:02:16,主持人,接下來向各位介紹參加政見發表會的三位候選人
36,0:02:16,0:02:21,主持人,抽籤順序第一位候選人柯文哲先生
37,0:02:21,0:02:26,主持人,第二位候選人侯友宜先生
38,0:02:26,0:02:31,主持人,第三位候選人賴清德先生
39,0:02:31,0:02:37,主持人,現在開始進行今天的政見發表會
40,0:02:37,0:02:43,主持人,首先請第一輪第一位候選人柯文哲先生發表政見
41,0:02:43,0:02:46,主持人,時間十分鐘 請發言
42,0:02:46,0:02:48,柯文哲,各位鄉親父老
43,0:02:48,0:02:53,柯文哲,電視機前及在網路上看直播的全國同胞 大家好
44,0:02:53,0:02:57,柯文哲,昨天我在準備今天的政見的時候
45,0:02:57,0:02:59,柯文哲,就覺得心神不寧
46,0:02:59,0:03:03,柯文哲,因為我在網路新聞得知有一位新北的國中生
47,0:03:03,0:03:07,柯文哲,被殺了好幾刀 在昨天宣告不治
48,0:03:07,0:03:12,柯文哲,在這一刻 我們能夠做的就是對這位同學跟家屬
49,0:03:12,0:03:15,柯文哲,表達關心和陪伴
50,0:03:15,0:03:24,柯文哲,因此我想請全國的同胞跟我一起為這位同學跟家屬默哀
51,0:03:24,0:03:36,柯文哲,好 謝謝
52,0:03:36,0:03:39,柯文哲,每一次事情發生以後 媒體就會大肆報導
53,0:03:39,0:03:42,柯文哲,但是事過境遷 又沒有下文
54,0:03:42,0:03:47,柯文哲,其實我們要思考的是怎麼去建立一個預防重於治療的機制
55,0:03:47,0:03:49,柯文哲,我知道這個問題很複雜
56,0:03:49,0:03:51,柯文哲,要跨越非常多的部會
57,0:03:51,0:03:53,柯文哲,也需要民間的協助
58,0:03:53,0:03:55,柯文哲,像是很多的課後輔導班
59,0:03:55,0:03:59,柯文哲,就需要民間的公益組織來幫忙
60,0:03:59,0:04:01,柯文哲,所謂的短板理論
61,0:04:01,0:04:03,柯文哲,就是說一個水桶
62,0:04:03,0:04:04,柯文哲,它可以裝多少水
63,0:04:04,0:04:08,柯文哲,是由最短的那一片來決定的
64,0:04:08,0:04:14,柯文哲,這位死去的孩子 還有那一位拿出彈簧刀的孩子
65,0:04:14,0:04:16,柯文哲,都只是國中生
66,0:04:16,0:04:20,柯文哲,我們要思考的是 國中生怎麼會這樣
67,0:04:20,0:04:24,柯文哲,到底是拿著彈簧刀去學校不會被發現
68,0:04:24,0:04:26,柯文哲,發現了也不能阻止
69,0:04:26,0:04:29,柯文哲,還是我們缺了什麼 沒有做才會這樣
70,0:04:29,0:04:32,柯文哲,我們如何建構一個社會安全網
71,0:04:32,0:04:36,柯文哲,來讓孩子跟家長可以安全的生活
72,0:04:36,0:04:39,柯文哲,這是我們作為領導人要思考的
73,0:04:39,0:04:42,柯文哲,我也邀請兩位總統候選人一起思考
74,0:04:42,0:04:44,柯文哲,來提出看法
75,0:04:44,0:04:47,柯文哲,接下來 我要來談今天的議題
76,0:04:47,0:04:53,柯文哲,今天我們要講醫療 長照 勞保
77,0:04:53,0:04:55,柯文哲,健康是基本人權
78,0:04:55,0:04:56,柯文哲,它是一個普世價值
