segment,from,to,speaker,text
2,0:00:05,0:00:09,主持人,主席 各位貴賓
3,0:00:09,0:00:10,主持人,還有媒體好朋友
4,0:00:10,0:00:13,主持人,以及正在收看直播的好朋友們
5,0:00:13,0:00:14,主持人,大家早安
6,0:00:14,0:00:16,主持人,歡迎來到國家希望工程
7,0:00:16,0:00:19,主持人,國政願景發表會的記者會現場
8,0:00:19,0:00:22,主持人,今天是我們第六場的記者會了
9,0:00:22,0:00:25,主持人,我們今天即將聚焦在第二次的能源轉型
10,0:00:25,0:00:29,主持人,今天的主題是淨零轉型 永續台灣
11,0:00:29,0:00:30,主持人,在記者會開始
12,0:00:30,0:00:33,主持人,讓我先為大家來介紹一間與會的貴賓
13,0:00:33,0:00:37,主持人,首先掌聲歡迎賴清德總統候選人
14,0:00:37,0:00:39,主持人,早安
15,0:00:39,0:00:43,主持人,以及我們的新平台董事長
16,0:00:43,0:00:44,主持人,鄭麗君董事長
17,0:00:44,0:00:47,主持人,同時也是我們國政召集人
18,0:00:47,0:00:48,主持人,早安
19,0:00:48,0:00:51,主持人,還有今天由我們衛環最專業的
20,0:00:51,0:00:53,主持人,洪聖翰委員也與會了
21,0:00:53,0:00:54,主持人,歡迎委員
22,0:00:54,0:00:58,主持人,淡江大學產業經濟系教授蔡明芳教授
23,0:00:58,0:00:59,主持人,教授早安
24,0:00:59,0:01:01,主持人,教授同時長期關注淨零轉型
25,0:01:01,0:01:04,主持人,還有相關的因應策略
26,0:01:04,0:01:06,主持人,接下來讓我們歡迎賴清德總統候選人
27,0:01:06,0:01:08,主持人,為大家來發表
28,0:01:08,0:01:13,主持人,在今天即將要公布淨零轉型有五大策略
29,0:01:13,0:01:17,賴清德,好，競選總部
30,0:01:17,0:01:19,賴清德,國家藍圖召集人
31,0:01:19,0:01:20,賴清德,鄭麗君董事長
32,0:01:20,0:01:22,賴清德,洪聖翰委員、蔡明芳教授
33,0:01:22,0:01:25,賴清德,還有競選總部潘孟安總幹事
34,0:01:25,0:01:26,賴清德,現場的美女朋友
35,0:01:26,0:01:30,賴清德,線上收聽收看直播的國人同胞
36,0:01:30,0:01:32,賴清德,大家早安 大家好
37,0:01:32,0:01:34,賴清德,今天是我第六場
38,0:01:34,0:01:40,賴清德,國家希望工程系列國政藍圖記者會
39,0:01:40,0:01:45,賴清德,那我今天的重點會放在淨零轉型
40,0:01:45,0:01:50,賴清德,然後來達到永續台灣的目標
41,0:01:50,0:01:52,賴清德,我們都很清楚
42,0:01:52,0:01:56,賴清德,氣候的危機越來越多 越來越強
43,0:01:56,0:01:57,賴清德,也越來越廣
44,0:01:57,0:02:01,賴清德,對全球造成相當大的衝擊
45,0:02:01,0:02:02,賴清德,在這種狀況之下
46,0:02:02,0:02:05,賴清德,全球有 140 幾個國家或地區
47,0:02:05,0:02:10,賴清德,已經設定 2050 淨零轉型的目標
48,0:02:10,0:02:15,賴清德,蔡英文總統也在 2021 年的 4 月 22 號世界地球日
49,0:02:15,0:02:18,賴清德,也接觸了台灣的使命
50,0:02:18,0:02:24,賴清德,要在2050年達到淨零轉型的目標
51,0:02:24,0:02:26,賴清德,在這種狀況之下
52,0:02:26,0:02:30,賴清德,固然淨零轉型對台灣來講是一個挑戰
53,0:02:30,0:02:33,賴清德,但是如果我們因應得宜
54,0:02:33,0:02:37,賴清德,台灣可以因此成為一個永續的台灣
55,0:02:37,0:02:41,賴清德,不僅產業可以升級，經濟也可以轉型
56,0:02:41,0:02:46,賴清德,我想國人的生活一定可以變得更好
57,0:02:46,0:02:50,賴清德,那當然淨零轉型的前提
58,0:02:50,0:02:54,賴清德,就一定要先達到穩定供電
59,0:02:54,0:02:56,賴清德,那麼很多人應該都聽過
60,0:02:56,0:02:58,賴清德,或者曾經質疑過
61,0:02:58,0:03:02,賴清德,臺灣的電力供應到底能不能穩定
62,0:03:02,0:03:05,賴清德,我在這裡特別跟大家報告
63,0:03:05,0:03:08,賴清德,在馬英九前總統 8 年任內
64,0:03:08,0:03:10,賴清德,他蓋了一座電廠
65,0:03:10,0:03:13,賴清德,裝置了三個機組
66,0:03:13,0:03:19,賴清德,總裝置容量是 268 萬千瓦
67,0:03:19,0:03:22,賴清德,但是蔡總統在 7 年的任內
68,0:03:22,0:03:24,賴清德,興建了六座電廠
69,0:03:24,0:03:28,賴清德,安裝了 18 座的機組
70,0:03:28,0:03:35,賴清德,總裝置容量是 1701 萬千瓦
71,0:03:35,0:03:38,賴清德,如果根據台灣電力公司的推估
72,0:03:38,0:03:42,賴清德,台灣每一年新增電力需求是
73,0:03:42,0:03:46,賴清德,一個 GigaWatt 就是100萬千瓦
74,0:03:46,0:03:50,賴清德,所以可以預期在 2030 年的時候
75,0:03:50,0:03:54,賴清德,我們總需要增加的量
76,0:03:54,0:03:57,賴清德,是 700 萬千瓦 7 個 GigaWatt
77,0:03:57,0:04:04,賴清德,可是根據過去 7 年蔡總統的電力建置
78,0:04:04,0:04:07,賴清德,我們可以在 2030 年之前
79,0:04:07,0:04:14,賴清德,還可以再新增 901萬千瓦 9 個 GigaWatt
80,0:04:14,0:04:17,賴清德,換句話說一直到 2030 年
81,0:04:17,0:04:21,賴清德,我們的電力供應都可以穩定
82,0:04:21,0:04:23,賴清德,另外我也希望國人同胞
83,0:04:23,0:04:26,賴清德,如果你對目前的電力供應
84,0:04:26,0:04:28,賴清德,是否穩定有疑問的話
85,0:04:28,0:04:30,賴清德,你可以拿出你的手機
