segment,from,to,speaker,text
4,0:00:41,0:00:44,主持人,阿公阿嬤 大家早上好嗎
5,0:00:44,0:00:45,主持人,好
6,0:00:45,0:00:47,主持人,今天很高興喔
7,0:00:47,0:00:51,主持人,(觀眾說話)
8,0:00:51,0:00:53,主持人,現場也來很多貴賓
9,0:00:53,0:00:54,主持人,還有我們的媒體記者
10,0:00:54,0:00:55,主持人,還有我們的家人
11,0:00:55,0:00:57,主持人,大家好 大家早
12,0:00:57,0:01:00,主持人,那今天的盛會
13,0:01:00,0:01:02,主持人,我們一早非常的歡迎
14,0:01:02,0:01:05,主持人,而且帶著很喜悅 很澎湃的心
15,0:01:05,0:01:07,主持人,那我們首先先
16,0:01:07,0:01:09,主持人,我先介紹我們的貴賓
17,0:01:09,0:01:11,主持人,那我們的董事長
18,0:01:11,0:01:12,主持人,今天有親臨現場
19,0:01:12,0:01:15,主持人,我們的董事長李長鴻先生
20,0:01:15,0:01:18,主持人,(掌聲)
21,0:01:18,0:01:20,主持人,那再來就是重量級的喔
22,0:01:20,0:01:23,主持人,我們的新北市侯友宜 侯市長
23,0:01:23,0:01:25,主持人,專程過來
24,0:01:25,0:01:27,主持人,(掌聲)
25,0:01:27,0:01:29,主持人,那再來 謝謝
26,0:01:29,0:01:35,主持人,再來就是我們的立院黨團總召曾明宗
27,0:01:35,0:01:36,主持人,曾明宗先生
28,0:01:36,0:01:40,主持人,(掌聲)
29,0:01:40,0:01:45,主持人,再來是我們的那個洪賢龍副主委
30,0:01:45,0:01:46,主持人,這位是誰
31,0:01:46,0:01:49,主持人,(掌聲)
32,0:01:49,0:01:51,主持人,好 這位
33,0:01:51,0:01:52,主持人,這位
34,0:01:52,0:01:55,主持人,再來是我們的翁重鈞立委
35,0:01:55,0:01:57,主持人,阿公阿嬤 幫他打招呼一下
36,0:01:57,0:01:59,主持人,(掌聲)
37,0:01:59,0:02:00,主持人,OK的喔
38,0:02:00,0:02:04,主持人,阿公阿嬤 我們首先請我們的董事長李長鴻先生
39,0:02:04,0:02:06,主持人,跟我們說幾句話好不好
40,0:02:06,0:02:10,主持人,好
41,0:02:10,0:02:15,主持人,(掌聲)
42,0:02:15,0:02:18,李長鴻,各位阿公阿嬤 早上好
43,0:02:18,0:02:21,李長鴻,這個侯市長跟曾**
44,0:02:21,0:02:24,李長鴻,跟侯市長跟***
45,0:02:24,0:02:27,李長鴻,就是你們今天來鼓勵我們這裡
46,0:02:27,0:02:28,李長鴻,我很高興
47,0:02:28,0:02:30,李長鴻,因為我們這個老人的
48,0:02:30,0:02:36,李長鴻,那個高齡的社會在我們台灣是已經很明顯了
49,0:02:36,0:02:38,李長鴻,我們台灣我們說
50,0:02:38,0:02:42,李長鴻,超過7%的老人就是叫做老人化
51,0:02:42,0:02:45,李長鴻,超過14%就叫做高齡社會
52,0:02:45,0:02:48,李長鴻,超過20%就叫超高齡
