segment,from,to,speaker,text
2,0:00:12,0:00:16,左正東,各位女士 各位先生 各位媒體的好朋友
3,0:00:16,0:00:20,左正東,我是侯友宜競選辦公室外交事務顧問左正東
4,0:00:20,0:00:28,左正東,首先歡迎大家來參加今天侯友宜國防外交政見記者發布會
5,0:00:28,0:00:35,左正東,首先讓我們以最熱烈的掌聲歡迎國民黨總統候選人侯友宜侯市長
6,0:00:35,0:00:39,左正東,(掌聲)
7,0:00:39,0:00:44,左正東,接著讓我們歡迎前國防部副部長陳永康上將
8,0:00:44,0:00:48,左正東,(掌聲)
9,0:00:48,0:00:53,左正東,再來是前國民黨黨主席 現任立法委員江啟臣江委員
10,0:00:53,0:00:56,左正東,(掌聲)
11,0:00:56,0:01:01,左正東,再來是現任國民黨副主席夏立言 夏大使
12,0:01:01,0:01:04,左正東,(掌聲)
13,0:01:04,0:01:13,左正東,我想大家都知道過去七年我國的國防外交面臨到非常大的困境
14,0:01:13,0:01:21,左正東,從2020年9月開始我們看到共機共艦入侵我們的這個西南防空識別區
15,0:01:21,0:01:30,左正東,越來越頻繁 也在當時中共的發言人對外聲稱不存在海峽中線
16,0:01:30,0:01:35,左正東,從那個時候開始共機共艦侵入我們的防空識別區
17,0:01:35,0:01:41,左正東,穿越我們的海峽中線越來越頻繁 甚至是每天都來
18,0:01:41,0:01:46,左正東,那麼在2022年的8月圍台軍演的時候
19,0:01:46,0:01:50,左正東,中共的飛彈甚至飛越了台灣海峽的上空
20,0:01:50,0:01:54,左正東,對我們的國防安全帶來極大的威脅
21,0:01:54,0:01:59,左正東,那麼在外交部分我們看到就是2017年到現在
22,0:01:59,0:02:03,左正東,我國政府代表沒有辦法出席世界衛生大會
23,0:02:03,0:02:09,左正東,我們曾經一度出席的國際民航組織也沒有辦法出席
24,0:02:09,0:02:15,左正東,甚至在過去這7年中華民國損失了9個邦交國
25,0:02:15,0:02:18,左正東,面對這樣子空前的危局
26,0:02:18,0:02:23,左正東,下一屆政府要怎麼樣突破困局
27,0:02:23,0:02:27,左正東,那我想這是一個非常艱巨的任務
28,0:02:27,0:02:31,左正東,今天的記者會我們侯市長要向大家報告
29,0:02:31,0:02:34,左正東,他對於如何帶領中華民國轉危為安
30,0:02:34,0:02:37,左正東,他的政策構想 他的具體的做法
31,0:02:37,0:02:41,左正東,那以下我們就將時間交給侯市長
32,0:02:41,0:02:49,侯友宜,好 非常謝謝我們左正東教授
33,0:02:49,0:02:54,侯友宜,今天我們來談談我們的國防跟外交的政見
34,0:02:54,0:02:58,侯友宜,讓我們全體的國民同胞們知道未來
35,0:02:58,0:03:00,侯友宜,我侯友宜當選總統
36,0:03:00,0:03:05,侯友宜,如何帶領我們的國軍以及我們的外交團隊
37,0:03:05,0:03:07,侯友宜,守護中華民國
38,0:03:07,0:03:11,侯友宜,讓台澎金馬這一塊土地能夠平安
39,0:03:11,0:03:13,侯友宜,就我們的整個政見裡面
40,0:03:13,0:03:15,侯友宜,我來實際的來談到
41,0:03:15,0:03:24,侯友宜,談到我的國防整個政見先列為第一個部分
42,0:03:24,0:03:27,侯友宜,第一個部分裡面 我有三個策略
43,0:03:27,0:03:30,侯友宜,這三個策略 第一個是建構國安策略
44,0:03:30,0:03:35,侯友宜,國家安全一定是建構在國防的力量之上
45,0:03:35,0:03:38,侯友宜,所以這裡面有兩項主軸
46,0:03:38,0:03:41,侯友宜,國防的國安戰略 我一定有個戰略藍圖
47,0:03:41,0:03:43,侯友宜,那最重要有兩項
48,0:03:43,0:03:45,侯友宜,一個是軍人加薪百億
49,0:03:45,0:03:49,侯友宜,以及強健國防的十個力量
50,0:03:49,0:03:53,侯友宜,在這裡面 我一個一個來跟大家說清楚
51,0:03:53,0:04:01,侯友宜,我的主張回到我當時我講的就是3D戰略
52,0:04:01,0:04:03,侯友宜,那3D戰略裡面
53,0:04:03,0:04:08,侯友宜,國防一定秉持著強健國防 嚇阻戰爭
54,0:04:08,0:04:10,侯友宜,為最主要的原則
55,0:04:10,0:04:13,侯友宜,那這裡面 我們的國軍是打造一個精銳
56,0:04:13,0:04:16,侯友宜,善戰靈活的國軍部隊
57,0:04:16,0:04:21,侯友宜,我們一定讓這個國軍部隊是一個最精銳的部隊
58,0:04:21,0:04:23,侯友宜,那民進黨這幾年
59,0:04:23,0:04:26,侯友宜,在打造國軍的過程當中
60,0:04:26,0:04:29,侯友宜,我們發現有四個非常嚴重的缺失
61,0:04:29,0:04:34,侯友宜,第一個 他沒有建構一國家安全的戰略圖
62,0:04:34,0:04:39,侯友宜,第二個 在整個志願役的戰力
63,0:04:39,0:04:44,侯友宜,第一個 他缺乏一個國家安全的戰略藍圖
64,0:04:44,0:04:49,侯友宜,第二個 志願役的戰力已經快速的流失
65,0:04:49,0:04:53,侯友宜,那戰鬥部隊的流失的情形非常非常的嚴重
66,0:04:53,0:04:58,侯友宜,甚至在沒有發生戰爭的時候 我們給他統計
67,0:04:58,0:05:02,侯友宜,三年 我們的志願役就少了8000名
68,0:05:02,0:05:05,侯友宜,就少了10個營 就已經這麼多了
69,0:05:05,0:05:09,侯友宜,那至於義務役的計畫 非常的不務實
70,0:05:09,0:05:12,侯友宜,導致國軍的戰力跟役男雙輸
71,0:05:12,0:05:18,侯友宜,還有民進黨非常重視了整個全民防衛的動員
72,0:05:18,0:05:21,侯友宜,其實是虛有其表 是空的
73,0:05:21,0:05:26,侯友宜,所以針對這四大缺失 我逐一逐一的來給大家
74,0:05:26,0:05:30,侯友宜,說我們如何把我們的國家安全的戰略藍圖
75,0:05:30,0:05:34,侯友宜,很清楚的描述 甚至把另外三個有問題的
76,0:05:34,0:05:38,侯友宜,如何點出來 我們如何做 讓我們的國防能夠強化
77,0:05:38,0:05:42,侯友宜,在台海安定跟印太地區的穩定上
78,0:05:42,0:05:48,侯友宜,我提出了嚇阻、對話、降低風險的3D戰略
79,0:05:48,0:05:52,侯友宜,作為國防兩岸外交的一個藍圖
80,0:05:52,0:05:58,侯友宜,在這當中 我在就職10個月 我一定會馬上公佈
81,0:05:58,0:06:02,侯友宜,中華民國的安全戰略 把3D的戰略
82,0:06:02,0:06:08,侯友宜,用三大主軸來確立 來達到我們能夠促進繁榮
83,0:06:08,0:06:13,侯友宜,確保民主以及強化安全的目標
84,0:06:13,0:06:18,侯友宜,我一定把安全藍圖 好好的在這三個主軸底下
85,0:06:18,0:06:22,侯友宜,把這個目標什麼時間完成 什麼時間做到什麼程度
86,0:06:22,0:06:27,侯友宜,很清楚的來跟全體的人民做一個很清楚的說明
87,0:06:27,0:06:31,侯友宜,在這裡面 我剛剛講的百億加薪
88,0:06:31,0:06:35,侯友宜,你志願役 你要留住人才
89,0:06:35,0:06:41,侯友宜,現在很多的軍校也招不到學生
90,0:06:41,0:06:45,侯友宜,甚至要招到的學生很困難 一補再補三補
91,0:06:45,0:06:50,侯友宜,這個都可以問得到 所以志願役如何鼓勵他們
92,0:06:50,0:06:55,侯友宜,願意留下來 為我們國軍打造一個精銳的部隊
93,0:06:55,0:06:59,侯友宜,這裡面就百億加薪裡面最重要的戰鬥單位
94,0:06:59,0:07:03,侯友宜,戰鬥單位的志願役 每個月我最少給他加薪1萬元
95,0:07:03,0:07:08,侯友宜,至於其他的志願役也有8千也有7千6千
96,0:07:08,0:07:13,侯友宜,這不等 讓他有感加薪 勇敢的從軍
97,0:07:13,0:07:19,侯友宜,從軍是一個很重要 鼓舞他全力保家衛國的一個方向
98,0:07:19,0:07:24,侯友宜,在這個百億的整個加薪裡面 我們給他預估
99,0:07:24,0:07:30,侯友宜,每年要增加的國防預算 如果按照我們明年的預算
100,0:07:30,0:07:34,侯友宜,6千億來算 那只加了106億 其實不多
101,0:07:34,0:07:38,侯友宜,包括給戰鬥加給67億 還有志願役的加給
102,0:07:38,0:07:43,侯友宜,只增了39億 這是一個最基本鼓勵大家來從軍
103,0:07:43,0:07:50,侯友宜,來照顧他們 至於在這裡面的役男的義務役
104,0:07:50,0:07:56,侯友宜,那義務役的服役不要等 因為這段時間我們看到
105,0:07:56,0:08:01,侯友宜,義務役要在當兵之前 有時候這個時間拉得很長
106,0:08:01,0:08:05,侯友宜,而且時間也不很固定 所以要精進入伍的流程
