segment,from,to,speaker,text
1,0:00:00,0:00:03,南賢天,送給我們的柯P柯主席
2,0:00:03,0:00:07,南賢天,希望美麗的稻穗是代表一個豐收
3,0:00:07,0:00:11,南賢天,也是代表一個我們對未來充分的希望的
4,0:00:11,0:00:15,南賢天,一個我們在大地之上執掌的
5,0:00:15,0:00:20,南賢天,我們亞洲人賴以為生的稻米
6,0:00:20,0:00:24,南賢天,我們一祝我們柯主席高票當權
7,0:00:24,0:00:29,主持人,謝謝謝謝我們台灣中央南賢天
8,0:00:29,0:00:31,主持人,陳老師我們帶來的表演
9,0:00:31,0:00:32,主持人,非常的感謝
10,0:00:32,0:00:34,主持人,也謝謝他在悠揚的歌聲中
11,0:00:34,0:00:37,主持人,期待台灣可以越來越美好
12,0:00:37,0:00:40,南賢天,好 第二首歌
13,0:00:40,0:00:42,南賢天,我帶來一首
14,0:00:42,0:00:46,南賢天,因為我在苗栗客家聚落待了41年
15,0:00:46,0:00:48,南賢天,這麼多年來
16,0:00:48,0:00:50,南賢天,也因為我託給大家
17,0:00:50,0:00:53,南賢天,我們三萬個朋友和妹妹
18,0:00:53,0:01:01,南賢天,不同族群的結合
19,0:01:01,0:01:04,南賢天,其實我們兩個應該可以說是
20,0:01:04,0:01:07,南賢天,在原住民跟客家裡面結合
21,0:01:07,0:01:12,南賢天,不同的文化可是我們並發出融合
22,0:01:12,0:01:15,南賢天,從谷底再起來的時候
23,0:01:15,0:01:17,南賢天,我們心存感恩
24,0:01:17,0:01:20,南賢天,也感念老婆體系有這個原住民
25,0:01:20,0:01:23,南賢天,原住民是隨言隨性隨和
26,0:01:23,0:01:25,南賢天,也很隨便
27,0:01:25,0:01:27,南賢天,老婆說不能隨便
28,0:01:27,0:01:29,南賢天,所以我們在客家聚落經營的產業
29,0:01:29,0:01:30,南賢天,也過去
30,0:01:30,0:01:33,南賢天,我們也謝謝曾經在客委會
31,0:01:33,0:01:38,南賢天,擔任過副主委的莊景華女士的提攜
32,0:01:38,0:01:43,南賢天,讓桐花開遍了整個苗栗的客家聚落
33,0:01:43,0:01:46,南賢天,也因此我們用桐花的文創產業
34,0:01:46,0:01:48,南賢天,一路走來到現在
35,0:01:48,0:01:50,南賢天,我們越戰越勇
36,0:01:50,0:01:53,南賢天,曾幾何時桐花我們不願意讓它在這個
37,0:01:53,0:01:55,南賢天,美麗的福摩沙消失
38,0:01:55,0:01:59,南賢天,我們希望未來我們的柯總統上任的時候
39,0:01:59,0:02:03,南賢天,能夠大力的再把過去童話的這個風華
40,0:02:03,0:02:08,南賢天,再次展現給各位我們所有的好朋友各位鄉親
41,0:02:08,0:02:10,南賢天,我們今天帶來這首
42,0:02:10,0:02:13,南賢天,《客家本色》代表客家人的
43,0:02:13,0:02:15,南賢天,「安價三萬個精神」
44,0:02:15,0:02:18,南賢天,"好嗎?好,謝謝"
47,0:02:42,0:02:47,（唱歌）,同山戈台本 木板釘前
48,0:02:47,0:02:51,（唱歌）,山滿大兩岗山更天
49,0:02:51,0:03:01,（唱歌）,我共挫子 幾十年 四萬年
50,0:03:01,0:03:06,（唱歌）,四十大來就 安陽墾陽壯高
51,0:03:06,0:03:11,（唱歌）,六三八年莫過一篇
52,0:03:11,0:03:21,（唱歌）,客家精神莫不得 圓圓
53,0:03:21,0:03:26,（唱歌）,四太再進步 沙壁改變
54,0:03:26,0:03:31,（唱歌）,是為何匆忙應援
55,0:03:31,0:03:40,（唱歌）,風天時天 客家人 修和新天
56,0:03:40,0:03:44,（唱歌）,真正的當作 一個六三個音
57,0:03:44,0:03:49,（唱歌）,就從人格羅祖先
58,0:03:49,0:04:00,（唱歌）,永遠不忘 這種言 天天安寧
59,0:04:00,0:04:03,（唱歌）,"好,我們接著"
60,0:04:03,0:04:04,（唱歌）,我們再做個聲音規篇
61,0:04:04,0:04:05,（唱歌）,你的雙手握著手
62,0:04:05,0:04:08,（唱歌）,親愛的客家國
63,0:04:08,0:04:10,（唱歌）,"來,大家接著打個拍子好不好,來"
